repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics
autero1,action-terragrunt,deployment,39,0,0,1,0,1,cwe-020,1.0,30,9,13,25,4,59,11,1404,30,6,30,3,1404000,16," github-actions,  terraform,  terragrunt, actions"
aws-actions,amazon-ecr-login,deployment,102,0,0,0,0,0,nan,0.0,30,6,30,180,23,957,26,32618,30,32,30,2,32618000,11,nan
aws-actions,amazon-ecs-render-task-definition,deployment,96,0,0,1,0,1," cwe-080,  cwe-116, cwe-020",1.0,30,10,30,148,11,292,25,3468,30,30,30,3,3468000,14,nan
aws-actions,aws-secretsmanager-get-secrets,security,106,0,0,7,0,7," cwe-080,  cwe-116,  cwe-400,  cwe-730, cwe-020",7.0,30,11,17,38,6,151,8,2739,30,16,30,8,2739000,12,nan
balena-io,deploy-to-balena-action,container ci,196,0,0,2,0,2," cwe-080,  cwe-116, cwe-020",2.0,30,30,30,14,15,39,20,2922,30,31,30,4,2922000,19,nan
batista,lint-filenames,utilities,36,0,1,3,0,4," cwe-400,  cwe-730,  cwe-74, cwe-020",4.0,30,12,3,6,2,31,3,1426,30,14,30,6,1426000,11," filenames,  folder-tooling,  github-actions,  lint,  pattern-matching,  quality-assurance,  tooling, actions"
bazelbuild,setup-bazelisk,testing,76,2,2,5,0,9," cwe-200,  cwe-284,  cwe-338,  cwe-400,  cwe-730, cwe-020",9.0,30,1,4,9,5,56,7,1902,30,0,30,0,1902000,12,nan
benc-uk,workflow-dispatch,deployment,5,0,1,1,0,2," cwe-1333,  cwe-400, cwe-020",2.0,30,4,4,128,6,339,5,486,30,12,30,3,486000,10," github,  github-actions, devops"
benchmark-action,github-action-benchmark,code quality,104,0,3,1,1,5," cwe-078,  cwe-088,  cwe-1333,  cwe-400,  cwe-506, cwe-020",5.0,30,6,30,166,7,1064,30,5648,30,111,30,12,5648000,13," ci,  github-action, benchmark"
biomejs,setup-biome,utilities,45,1,2,24,0,27," cwe-200,  cwe-22,  cwe-311,  cwe-367,  cwe-426,  cwe-532,  cwe-59,  cwe-732,  cwe-78, cwe-020",27.0,30,1,10,8,7,63,11,1288,30,1,30,0,1288000,12," biomejs,  formatter,  github-actions,  linter, biome"
blombard,move-to-next-iteration,utilities,25,0,0,2,0,2," cwe-080,  cwe-116, cwe-020",2.0,30,1,6,16,1,38,5,141,25,6,11,0,141000,13,nan
bobheadxi,deployments,deployment,36,0,0,2,0,2,cwe-020,2.0,30,9,24,63,7,387,25,32070,30,12,30,6,32070000,13," github-actions,  github-api,  status, deployments"
borchero,terraform-plan-comment,deployment,596,0,1,5,0,6," cwe-1333,  cwe-327,  cwe-328,  cwe-367,  cwe-79, cwe-020",6.0,16,2,7,13,4,91,4,559,30,14,24,3,559000,15," terraform, github-actions"
brown-ccv,alex-recommends,code review,363,0,3,12,1,16," cwe-1321,  cwe-1333,  cwe-173,  cwe-400,  cwe-697,  cwe-74,  n/a, cwe-020",16.0,23,12,6,3,4,28,6,1178,26,14,21,11,1178000,10,nan
chf007,action-wechat-work,chat,10,0,3,0,0,3," cwe-200,  cwe-352, cwe-20",3.0,30,3,9,16,2,36,3,863,17,3,10,2,863000,10," actions,  chat,  github,  wechat,  wechat-work, action"
chrisdickinson,setup-yq,utilities,8,0,1,1,0,2," cwe-74, cwe-1333",2.0,21,1,1,21,4,28,4,44,14,3,7,1,44000,9,nan
cloudflare,pages-action,deployment,44,4,5,3,0,12," cwe-1333,  cwe-200,  cwe-284,  cwe-367,  cwe-74, cwe-020",12.0,30,2,8,99,14,472,17,263,30,17,30,0,263000,10,nan
codfish,semantic-release-action,deployment,532,1,2,4,0,7," cwe-400,  cwe-918, cwe-1333",7.0,30,5,29,20,3,114,9,682,30,3,30,0,682000,12," ci-cd,  github-actions,  semantic-release,  semantic-versioning, actions"
corymhall,cdk-diff-action,continuous integration,845,0,71,3,0,74," cwe-080,  cwe-116, cwe-020",74.0,30,4,30,10,1,47,5,99746,30,8,30,1,99746000,10,nan
crazy-max,ghaction-import-gpg,security,574,0,0,12,0,12," cwe-080,  cwe-116,  cwe-1333,  cwe-918, cwe-020",12.0,30,10,30,79,6,330,9,8345,30,12,30,5,8345000,17," git,  github-actions,  gnupg,  gnupg2,  openpgp,  signing, actions"
crazy-max,ghaction-setup-containerd,utilities,590,0,0,5,0,5," cwe-1333,  cwe-918, cwe-020",5.0,30,8,11,1,3,18,3,5091,30,7,30,5,5091000,19," containerd,  github-actions, actions"
crazy-max,ghaction-upx,deployment,577,0,1,3,0,4," cwe-078,  cwe-088,  cwe-1333,  cwe-918, cwe-020",4.0,30,6,16,3,3,56,5,11377,30,4,30,4,11377000,17," github-actions,  upx, actions"
crazyurus,miniprogram-action,deployment,934,0,8,12,2,22," cwe-1333,  cwe-184,  cwe-200,  cwe-312,  cwe-359,  cwe-400,  cwe-532,  cwe-74,  cwe-835,  cwe-918,  n/a, cwe-1321",22.0,13,1,2,9,1,14,1,160,6,3,1,0,160000,9," miniprogram, github-actions"
dailydotdev,action-devcard,utilities,190,0,0,2,0,2," cwe-1333, cwe-020",2.0,30,4,14,15,4,98,9,12119,30,5,30,3,12119000,21," hacktoberfest, github-action"
danielpalme,reportgenerator-github-action,testing,9,0,0,0,0,0,nan,0.0,30,1,30,7,2,74,3,472,21,0,6,0,472000,10,nan
darenm,setup-vstest,testing,33,0,0,2,0,2," cwe-1333, cwe-020",2.0,30,8,5,8,2,24,4,3776,29,4,23,4,3776000,10," deprecated,  obsolete, archived"
dataaxiom,ghcr-cleanup-action,container ci,67,0,0,10,0,10," cwe-400,  cwe-730, cwe-020",10.0,30,7,16,5,1,32,6,10594,30,7,30,6,10594000,12,nan
davelosert,vitest-coverage-report-action,testing,38,0,0,3,0,3," cwe-327,  cwe-328,  cwe-367, cwe-020",3.0,30,6,20,22,3,172,13,7034,30,10,30,1,7034000,12,nan
davidb,rust-cargo-make,deployment,32,0,0,2,0,2,cwe-020,2.0,30,4,14,6,3,32,4,2338,30,0,30,0,2338000,12," github-actions,  rust,  rust-lang, cargo-subcommand"
dawidd6,action-ansible-playbook,deployment,11,0,1,1,0,2," cwe-088,  cwe-256,  cwe-260,  cwe-313,  cwe-522, cwe-078",2.0,30,1,18,69,5,319,10,1004,30,9,30,0,1004000,12," ansible,  ansible-playbook,  github,  github-actions,  playbook,  run,  ssh, action"
de-vri-es,setup-git-credentials,security,11,0,0,0,0,0,nan,0.0,30,1,11,21,4,90,7,9641,30,2,13,0,9641000,11," credentials,  dependencies,  git,  hacktoberfest,  private, actions"
descope,assume-aws-role-from-gcp-action,security,669,0,1,4,1,6," cwe-1333,  cwe-184,  cwe-400, cwe-020",6.0,30,10,3,0,2,13,5,17378,30,10,30,9,17378000,12,nan
dessant,lock-threads,project management,35,3,1,1,0,5," cwe-200,  cwe-284, cwe-020",5.0,30,1,12,36,10,316,3,1878,30,6,14,3,1878000,8," issues,  lock,  pull-requests, github-actions"
devops-actions,json-to-file,utilities,51,0,0,2,1,3," cwe-367,  cwe-506, cwe-020",3.0,30,2,5,13,1,12,6,1347,30,1,30,1,1347000,12,nan
dhall-lang,setup-dhall,dependency management,8,0,0,6,0,6,cwe-020,6.0,30,1,5,7,4,15,5,56,11,3,6,0,56000,10,nan
di-sukharev,opencommit,utilities,234,0,5,9,0,14," cwe-080,  cwe-116,  cwe-1333,  cwe-327,  cwe-328,  cwe-367,  cwe-400,  cwe-730,  cwe-79,  cwe-835, cwe-020",14.0,30,19,3,344,26,6351,30,10079,30,155,30,5,10079000,11," ai-commit,  ai-commits,  artificial-intelligence,  chatgpt,  git,  gpt,  productivity, ai"
dineshsonachalam,markdown-autodocs,deployment,6,0,0,0,0,0,nan,0.0,30,17,8,17,2,186,3,8955,30,2,19,0,8955000,9,nan
dkershner6,aws-ssm-getparameters-action,deployment,743,3,2,3,0,8," cwe-1333,  cwe-200,  cwe-284,  cwe-400, cwe-020",8.0,30,8,6,16,3,25,5,2214,30,6,30,4,2214000,10,nan
dkershner6,jest-coverage-commenter-action,code review,665,3,3,4,0,10," cwe-078,  cwe-088,  cwe-1333,  cwe-200,  cwe-284,  cwe-400, cwe-020",10.0,30,30,6,5,3,14,2,1029,30,29,30,19,1029000,11," hacktoberfest,  nodejs, github-actions"
dlemstra,code-sign-action,security,9,0,2,0,0,2," cwe-088, cwe-078",2.0,30,1,1,67,2,32,9,243,22,0,15,0,243000,11,hacktoberfest
docker,setup-buildx-action,container ci,709,0,2,2,0,4," cwe-1321,  cwe-1333, cwe-020",4.0,30,3,30,171,17,1041,11,27403,30,13,30,0,27403000,19," buildx,  docker,  github-actions,  github-actions-docker, buildkit"
docker-practice,actions-setup-docker,container ci,4,0,1,0,0,1," cwe-088, cwe-078",1.0,30,3,15,36,3,95,3,737,30,15,9,2,737000,9,actions
dorny,test-reporter,testing,134,3,3,8,0,14," cwe-080,  cwe-116,  cwe-1333,  cwe-200,  cwe-284,  cwe-400,  cwe-730, cwe-020",14.0,30,14,15,218,15,875,30,13597,30,123,30,8,13597000,15," github-actions,  reporting,  testing, ci-cd"
dotnet,nbgv,project management,312,0,1,2,0,3," cwe-400, cwe-1333",3.0,30,7,7,8,6,53,6,19222,30,5,30,5,19222000,10,nan
dromara,issues-translate-action,localization,149,1,4,12,3,20," cwe-1321,  cwe-1333,  cwe-173,  cwe-184,  cwe-400,  cwe-74,  cwe-755,  cwe-77,  n/a, cwe-020",20.0,30,12,11,28,7,196,4,978,30,11,30,6,978000,10," issues,  translation,  translator, action"
dynatrace-oss,dynatrace-github-action,utilities,23,0,0,1,0,1,cwe-020,1.0,30,18,9,7,5,32,6,902,30,22,30,7,902000,10,nan
editorconfig-checker,action-editorconfig-checker,utilities,32,3,1,2,0,6," cwe-1333,  cwe-200,  cwe-284, cwe-020",6.0,30,1,6,5,9,22,7,606,30,0,30,0,606000,10,nan
einaregilsson,beanstalk-deploy,deployment,0,0,2,0,6,8," cwe-259,  cwe-321,  cwe-798, cwe-200",8.0,30,6,20,138,4,629,12,74,30,40,30,4,74000,9,nan
endorlabs,github-action,security,650,0,1,6,0,7,cwe-020,7.0,30,15,11,2,15,45,16,8474,30,1,30,1,8474000,10,nan
eregon,publish-release,deployment,54,0,0,2,0,2," cwe-1333, cwe-020",2.0,23,3,8,9,3,38,5,287,15,1,11,1,287000,11,nan
errata-ai,vale-action,testing,97,0,0,2,0,2,cwe-1333,2.0,30,4,16,52,8,204,20,46066,30,18,30,1,46066000,10," vale, github-actions"
exercism,pr-commenter-action,code review,35,0,0,1,0,1,cwe-020,1.0,30,3,8,16,4,39,9,289,30,5,30,2,289000,30,community-contributions-accepted
expo,expo-github-action,deployment,14,0,13,24,0,37," cwe-078,  cwe-088,  cwe-338,  cwe-400,  cwe-730, cwe-020",37.0,30,30,30,80,7,833,30,30076,30,43,30,6,30076000,12," cli,  continuous-delivery,  continuous-integration,  expo,  github-actions, actions"
fabasoad,twilio-voice-call-action,utilities,351,0,1,1,0,2," cwe-1333, cwe-020",2.0,30,1,29,2,2,16,6,18089,30,0,30,0,18089000,24," github-actions,  twilio,  twilio-voice,  voice,  voice-assistant,  voicetext, github-action"
fjogeleit,yaml-update-action,utilities,58,3,1,1,0,5," cwe-200,  cwe-284, cwe-020",5.0,30,3,27,48,5,148,11,3978,30,6,30,2,3978000,11," ci,  configuration,  continuous-integration,  docker,  helm,  json,  yaml, actions"
forcedotcom,run-code-analyzer,security,150,0,1,9,0,10," cwe-080,  cwe-116,  cwe-1333,  cwe-22,  cwe-338,  cwe-400,  cwe-730, cwe-020",10.0,30,5,3,3,5,45,3,2360,30,4,30,3,2360000,21,nan
fpicalausa,remove-stale-branches,utilities,28,0,0,3,0,3," cwe-400,  cwe-730, cwe-020",3.0,30,7,16,11,3,20,8,2290,30,15,17,3,2290000,10,nan
frictionlessdata,frictionless-ci,code quality,5,0,0,0,0,0,nan,0.0,30,3,2,12,10,39,8,3794,30,14,18,2,3794000,11,nan
fwilhe2,setup-kotlin,continuous integration,489,0,0,2,0,2," cwe-1333, cwe-020",2.0,30,7,21,7,2,31,5,4708,30,2,30,2,4708000,12," kotlin,  programming,  scripting, actions"
gabrielfalcao,pyenv-action,dependency management,35,3,0,3,0,6," cwe-200,  cwe-284,  cwe-367,  cwe-377,  cwe-378, cwe-020",6.0,30,16,18,20,4,39,7,1999,30,22,30,13,1999000,10," github,  github-actions,  pip,  pyenv,  python,  python3,  virtualenv, actions"
gagoar,codeowners-generator,utilities,97,0,1,1,0,2," cwe-400, cwe-1333",2.0,30,6,7,10,5,57,15,1449,30,12,30,4,1449000,14," codeowners,  codeowners-files,  codeowners-generator,  monorepo, cli"
game-ci,unity-builder,game ci,922,2,16,8,1,27," cwe-078,  cwe-080,  cwe-088,  cwe-116,  cwe-1321,  cwe-1333,  cwe-200,  cwe-284,  cwe-400,  cwe-476,  cwe-835,  cwe-918,  cwe-94,  n/a, cwe-020",27.0,30,19,30,269,16,883,30,89242,30,78,30,15,89242000,21," build,  ci,  game-ci,  github,  hacktoberfest,  unity,  unity-actions,  unity-builder, actions"
gautamkrishnar,keepalive-workflow,utilities,83,0,1,4,0,5," cwe-269,  cwe-327,  cwe-328,  cwe-367, cwe-020",5.0,30,2,27,28,3,191,16,701,30,0,23,0,701000,10," automation,  cronjob,  github,  github-actions,  hacktoberfest,  trigger, actions"
getong,mariadb-action,container ci,249,2,7,13,3,25," cwe-1333,  cwe-20,  cwe-200,  cwe-259,  cwe-321,  cwe-400,  cwe-697,  cwe-77,  cwe-770,  cwe-798,  cwe-915, cwe-1321",25.0,30,1,12,9,3,25,6,34,17,2,11,0,34000,9,nan
github,accessibility-alt-text-bot,utilities,344,0,0,1,0,1,cwe-1333,1.0,30,23,9,16,7,78,8,9239,30,3,30,0,9239000,30," actions, accessibility"
github,branch-deploy,deployment,51,0,0,6,0,6," cwe-080,  cwe-116,  cwe-400,  cwe-730, cwe-020",6.0,30,1,30,50,67,421,18,31597,30,4,30,0,31597000,13," actions,  automation,  cicd,  continuous-deployment,  deploy,  deployment,  github,  github-action,  github-actions,  issueops,  workflows, action"
github,combine-prs,utilities,36,0,0,3,0,3," cwe-400,  cwe-730, cwe-020",3.0,30,4,19,6,66,121,10,2940,30,7,30,2,2940000,30," automation,  dependabot,  dependencies,  pull-requests,  repo-management, actions"
github,command,utilities,48,0,0,2,0,2,cwe-020,2.0,30,1,10,6,39,109,5,3663,30,2,30,0,3663000,30," chatops,  github-actions,  issueops,  workflows, automation"
google-github-actions,deploy-cloudrun,deployment,92,0,1,3,0,4," cwe-1333, cwe-020",4.0,30,3,30,120,11,490,16,4550,30,6,30,1,4550000,6," cloud-run,  cloudrun,  gcp,  github-actions,  google-cloud,  google-cloud-platform,  google-cloud-run, actions"
google-github-actions,get-gke-credentials,deployment,43,0,0,2,2,4," cwe-259,  cwe-321,  cwe-798, cwe-020",4.0,30,3,24,39,5,108,9,3828,30,1,30,0,3828000,6," gcp,  github-actions,  gke,  google-cloud,  google-cloud-platform,  google-kubernetes-engine,  kubernetes, actions"
google-github-actions,upload-cloud-storage,deployment,106,0,2,2,2,6," cwe-259,  cwe-321,  cwe-798, cwe-020",6.0,30,3,30,51,11,233,11,7540,30,0,30,0,7540000,6," gcp,  gcs,  github-actions,  google-cloud,  google-cloud-platform,  google-cloud-storage, actions"
grassedge,git-pr-release-action,deployment,431,3,14,21,5,43," cwe-080,  cwe-116,  cwe-1321,  cwe-1333,  cwe-173,  cwe-184,  cwe-20,  cwe-22,  cwe-319,  cwe-345,  cwe-400,  cwe-476,  cwe-668,  cwe-697,  cwe-74,  cwe-77,  cwe-770,  cwe-78,  cwe-915,  cwe-918,  cwe-94,  n/a, cwe-020",43.0,11,16,1,9,1,15,1,1819,24,20,20,16,1819000,10," pull-request,  release, github-actions"
h5bp,server-configs-test,testing,177,0,0,1,0,1,cwe-1333,1.0,30,2,30,17,6,42,4,5584,30,0,30,0,5584000,12," ci,  config,  github-actions,  h5bp,  standard,  test, actions"
jimmygchen,runner-fallback-action,utilities,14,0,0,1,0,1,cwe-020,1.0,30,9,2,7,4,21,4,291,27,6,27,6,291000,12," github-actions,  github-runners,  github-workflows,  self-hosted-runners, ci"
jitterbit,get-changed-files,utilities,653,4,14,20,3,41," cwe-1321,  cwe-1333,  cwe-173,  cwe-184,  cwe-20,  cwe-200,  cwe-345,  cwe-359,  cwe-400,  cwe-476,  cwe-697,  cwe-74,  cwe-770,  cwe-78,  cwe-915,  cwe-918, cwe-020",41.0,30,15,1,145,5,230,2,408,30,50,30,20,408000,10,nan
joao-zanutto,get-selected,utilities,38,0,0,2,0,2,cwe-020,2.0,20,4,3,0,1,18,1,412,16,4,14,3,412000,12," custom-actions,  github-actions,  manual-action, actions"
jontze,action-mdbook,deployment,801,0,0,2,0,2," cwe-1333, cwe-020",2.0,30,3,13,3,1,14,4,3379,30,4,30,1,3379000,14," github-actions,  marketplace,  mdbook,  mdbook-admonish,  mdbook-katex,  mdbook-linkcheck,  mdbook-mermaid,  mdbook-open-on-gh,  mdbook-plugin,  mdbook-plugins,  mdbook-preprocessor,  mdbook-toc,  mermaid, action"
jpb06,jest-badges-action,testing,673,3,5,4,0,12," cwe-078,  cwe-088,  cwe-1333,  cwe-20,  cwe-200,  cwe-284,  cwe-400,  cwe-918, cwe-020",12.0,30,3,30,19,2,35,3,1600,30,0,30,0,1600000,9," ci-cd,  github-actions,  jest,  test-coverage, badges"
julia-actions,registeraction,publishing,22,0,1,2,0,3," cwe-173,  cwe-74, cwe-1333",3.0,11,1,7,4,3,17,1,869,13,6,5,1,869000,9,nan
julia-actions,install-juliaup,continuous integration,41,0,0,0,0,0,nan,0.0,30,5,13,2,2,17,2,1031,30,9,30,4,1031000,15,nan
jwgmeligmeyling,pmd-github-action,security,70,0,2,4,1,7," cwe-1321,  cwe-173,  cwe-400,  cwe-74, cwe-020",7.0,11,12,2,9,2,13,2,1040,30,16,30,6,1040000,10," github-actions-java,  pmd,  static-analysis, github-actions"
kamilkisiela,bob,continuous integration,541,0,7,9,1,17," cwe-178,  cwe-184,  cwe-200,  cwe-367,  cwe-400,  cwe-50,  cwe-74,  cwe-79,  cwe-835, cwe-1333",17.0,30,10,23,12,7,48,13,1310,30,19,30,1,1310000,11," cli,  typescript,  yarn-workspaces, bundler"
kanadgupta,glitch-sync,deployment,5,0,0,0,0,0,nan,0.0,30,1,7,19,1,45,2,1113,30,0,30,0,1113000,11," github-actions,  glitch, action"
kanga333,variable-mapper,utilities,18,0,0,1,0,1,cwe-020,1.0,30,2,6,34,4,44,3,796,30,7,30,2,796000,10,github-actions
kevin-david,zipalign-sign-android-release,publishing,17,0,0,0,0,0,nan,0.0,30,3,4,9,2,23,10,41894,23,1,23,1,41894000,10,nan
kiegroup,git-backporting,continuous integration,68,0,0,8,6,14," cwe-259,  cwe-321,  cwe-798, cwe-020",14.0,30,1,27,9,2,19,8,2487,30,10,30,0,2487000,17," automation,  backport,  cherry-pick,  cli,  codeberg,  github,  github-actions,  gitlab,  hacktoberfest,  merge-requests,  pull-requests, action"
kiegroup,github-action-build-chain,utilities,103,0,5,3,5,13," cwe-20,  cwe-200,  cwe-259,  cwe-321,  cwe-352,  cwe-798,  cwe-918, cwe-020",13.0,30,11,30,25,5,86,11,5426,30,28,30,1,5426000,21," github-actions,  hacktoberfest,  workflow, github"
kitabisa,docker-slim-action,utilities,55,0,0,0,0,0,nan,0.0,27,4,6,5,4,25,4,3973,15,1,8,0,3973000,10," container,  docker,  docker-slim,  github-actions,  slim, actions"
ksivamuthu,aws-copilot-github-action,deployment,13,0,0,1,0,1,cwe-020,1.0,30,7,8,18,4,31,5,540,30,12,30,6,540000,12,nan
layer5labs,kanvas-snapshot,code review,513,0,5,8,0,13," cwe-1321,  cwe-1333,  cwe-20,  cwe-200,  cwe-352,  cwe-400,  cwe-476,  cwe-755,  cwe-918, cwe-020",13.0,30,26,30,24,5,28,17,1213,30,5,30,2,1213000,30," kubernetes,  kubernetes-controller,  meshery,  meshmap,  snapshot, iac"
laytan,setup-odin,utilities,120,0,2,12,0,14," cwe-1333,  cwe-338,  cwe-400,  cwe-730, cwe-020",14.0,30,3,17,3,3,19,3,16740,30,1,30,0,16740000,12,nan
leanix,nx-affected-dependencies-action,deployment,9,0,2,1,0,3," cwe-078,  cwe-088,  cwe-74, cwe-020",3.0,30,11,3,0,2,17,2,357,30,10,30,6,357000,12," nrwl-nx, monorepo"
lhotari,action-upterm,utilities,2,0,0,1,0,1,cwe-020,1.0,30,2,1,35,5,427,4,40,30,16,7,1,40000,9,nan
lindluni,actions-variable-groups,utilities,29,0,0,1,0,1,cwe-020,1.0,30,1,12,3,1,15,3,342,10,1,4,0,342000,10,github-actions
loopwerk,tag-changelog,deployment,37,0,0,1,0,1,cwe-020,1.0,30,1,16,15,4,62,4,311,18,0,7,0,311000,9," changelog,  changelog-generator,  github-actions, actions"
lukka,run-cmake,dependency management,378,0,2,2,0,4," cwe-080,  cwe-116,  cwe-1333, cwe-020",4.0,30,8,21,21,5,187,9,2361,30,8,30,0,2361000,12," cplusplus,  cpp,  git,  github-action,  ninja,  vcpkg, cmake"
lukka,run-vcpkg,dependency management,422,0,7,10,0,17," cwe-080,  cwe-116,  cwe-1333,  cwe-338,  cwe-400,  cwe-730,  cwe-77, cwe-020",17.0,30,15,30,27,5,199,9,4251,30,4,30,0,4251000,12," cplusplus,  cpp,  devops,  git,  github-action,  ninja,  vcpkg, cmake"
lwojcik,github-action-feed-to-social-media,utilities,3,0,0,0,0,0,nan,0.0,30,1,0,4,1,31,2,1871,30,0,30,0,1871000,10," atproto,  automation,  autoposter,  bluesky,  bsky,  discord,  feed,  github-action,  github-actions,  mastodon,  posse,  rss,  slack,  social-media,  twitter, atom"
machulav,ec2-github-runner,utilities,111,0,0,1,0,1,cwe-020,1.0,30,6,17,348,10,767,13,6121,30,67,30,7,6121000,10," aws,  cicd,  ec2,  ec2-instance,  ec2-runner,  github,  github-actions,  github-actions-runner,  github-workflow,  javascript,  on-demand,  runner,  self-hosted, actions-runner"
