repo_owner,repo_name,Number of Components,Total Vulnerabilities,Low,Medium,High,Critical,Category
bobheadxi,deployments,36,0,0,0,0,0,Deployment
brown-ccv,alex-recommends,363,15,0,3,11,1,Code Review
danielpalme,ReportGenerator-GitHub-Action,9,0,0,0,0,0,Testing
steffen-karlsson,stalesweeper,19,2,2,0,0,0,Support
github,branch-deploy,51,0,0,0,0,0,Deployment
JorelAli,setup-elm,7,0,0,0,0,0,Continuous Integration
crazyurus,miniprogram-action,934,21,0,8,11,2,Deployment
ashutoshvarma,setup-ninja,62,8,0,6,1,1,Utilities
Azure,pipelines,8,0,0,0,0,0,Deployment
google-github-actions,get-gke-credentials,43,0,0,0,0,0,Deployment
moropo-com,action-trigger-test-run,44,3,3,0,0,0,Testing
darenm,Setup-VSTest,33,1,0,0,1,0,Testing
shogo82148,actions-upload-release-asset,28,0,0,0,0,0,Publishing
xavierLowmiller,xcodegen-action,9,0,0,0,0,0,Mobile CI
JasonEtco,create-an-issue,112,4,0,2,2,0,Project Management
mainmatter,ember-asset-size-action,124,7,0,1,6,0,Deployment
MorrisonCole,pr-lint-action,503,18,6,2,9,1,Utilities
abeyuya,actions-mention-to-slack,45,3,0,3,0,0,Chat
szenius,notion-burndown,59,6,2,2,2,0,Project Management
Tyrrrz,action-http-request,9,0,0,0,0,0,Utilities
nick-fields,retry,15,3,3,0,0,0,Utilities
kevin-david,zipalign-sign-android-release,17,0,0,0,0,0,Publishing
lukka,run-vcpkg,422,2,0,0,2,0,Dependency Management
crazy-max,ghaction-import-gpg,574,3,0,0,3,0,Security
exercism,pr-commenter-action,35,0,0,0,0,0,Code Review
dotnet,nbgv,312,3,0,1,2,0,Project Management
SethCohen,github-releases-to-discord,35,0,0,0,0,0,Deployment
sibiraj-s,action-eslint,31,0,0,0,0,0,Code Quality
tibdex,backport,477,4,0,1,2,1,Utilities
shioyang,check-pr-labels-on-push-action,24,2,2,0,0,0,Project Management
JamesIves,fetch-api-data-action,473,2,1,0,1,0,Utilities
lhotari,action-upterm,2,0,0,0,0,0,Utilities
shallwefootball,upload-s3-action,73,2,0,2,0,0,Continuous Integration
loopwerk,tag-changelog,37,0,0,0,0,0,Deployment
jitterbit,get-changed-files,653,40,4,14,19,3,Utilities
Readme-Workflows,recent-activity,129,6,0,3,3,0,Utilities
42Crunch,api-security-audit-action,94,1,0,1,0,0,Testing
manusa,actions-setup-minikube,43,4,3,0,1,0,Container CI
auguwu,clippy-action,5,0,0,0,0,0,Utilities
atlassian,gajira-create,612,12,0,2,9,1,Project Management
martincostello,update-dotnet-sdk,72,0,0,0,0,0,Utilities
shonansurvivors,actions-s3-cache,22,4,1,2,1,0,Deployment
tubone24,update_release,66,5,0,1,4,0,Deployment
moonrepo,setup-rust,406,3,0,1,2,0,Utilities
aws-actions,amazon-ecs-render-task-definition,96,0,0,0,0,0,Deployment
editorconfig-checker,action-editorconfig-checker,32,4,3,0,1,0,Utilities
wechuli,allcheckspassed,36,0,0,0,0,0,Security
vio,bundle-stats-action,90,5,0,1,4,0,Utilities
SpectralOps,spectral-github-action,12,2,0,1,1,0,Security
fwilhe2,setup-kotlin,489,1,0,0,1,0,Continuous Integration
pascalgn,automerge-action,389,3,0,1,2,0,Code Review
1Password,load-secrets-action,21,3,2,0,0,1,Security
chf007,action-wechat-work,10,3,0,3,0,0,Chat
ExpediaGroup,github-helpers,70,0,0,0,0,0,Utilities
ardalanamini,auto-changelog,602,1,0,0,1,0,Utilities
DevCycleHQ,feature-flag-code-usage-action,419,1,0,0,1,0,Code Review
eregon,publish-release,54,1,0,0,1,0,Deployment
marocchino,validate-dependabot,754,2,0,1,1,0,Dependency Management
JulienKode,team-labeler-action,589,2,1,0,1,0,Code Review
philips-software,sonar-scanner-action,387,3,0,1,2,0,Code Quality
kiegroup,git-backporting,68,0,0,0,0,0,Continuous Integration
davelosert,vitest-coverage-report-action,38,0,0,0,0,0,Testing
LouisBrunner,checks-action,40,0,0,0,0,0,API Management
di-sukharev,opencommit,234,4,0,3,1,0,Utilities
BetaHuhn,deploy-to-vercel-action,161,9,0,2,6,1,Deployment
Azure,k8s-deploy,214,0,0,0,0,0,Deployment
sherlo-io,sherlo,2884,30,5,9,16,0,Testing
game-ci,unity-builder,922,16,2,8,5,1,Game CI
github,accessibility-alt-text-bot,344,1,0,0,1,0,Utilities
leanix,nx-affected-dependencies-action,9,1,0,1,0,0,Deployment
mattermost,action-mattermost-notify,17,0,0,0,0,0,Utilities
docker,setup-buildx-action,709,3,0,2,1,0,Container CI
gautamkrishnar,keepalive-workflow,83,2,0,1,1,0,Utilities
mlg87,pr-reviewer-slack-notify-action,1093,5,0,2,3,0,Code Review
JasonEtco,build-and-tag-action,80,6,0,1,4,1,Publishing
MishaKav,pytest-coverage-comment,41,0,0,0,0,0,Testing
DependencyTrack,gh-upload-sbom,4,0,0,0,0,0,Security
AlexSim93,pull-request-analytics-action,79,3,3,0,0,0,Monitoring
jwgmeligmeyling,pmd-github-action,70,5,0,2,2,1,Security
mikepenz,action-junit-report,145,0,0,0,0,0,Testing
dataaxiom,ghcr-cleanup-action,67,0,0,0,0,0,Container CI
nelonoel,branch-name,3,1,0,1,0,0,Deployment
shimataro,ssh-key-action,13,0,0,0,0,0,Deployment
Zqzqsb,MultiSourceSnake,1154,23,9,5,9,0,Utilities
ookami-kb,gh-pr-size-watcher,28,3,2,0,0,1,Code Review
apexskier,github-release-commenter,614,28,0,10,15,3,Utilities
endorlabs,github-action,650,3,0,1,2,0,Security
mrrobotdotapp,classic-discord-webhook,62,3,0,1,2,0,Chat
vlaurin,action-ghcr-prune,30,0,0,0,0,0,Utilities
machulav,ec2-github-runner,111,0,0,0,0,0,Utilities
volta-cli,action,4,0,0,0,0,0,Utilities
einaregilsson,beanstalk-deploy,0,0,0,0,0,0,Deployment
arduino,setup-arduino-cli,22,0,0,0,0,0,Utilities
peter-evans,find-comment,36,0,0,0,0,0,Utilities
ScribeMD,docker-cache,575,12,2,6,4,0,Utilities
Wandalen,wretry.action,16,0,0,0,0,0,Deployment
forcedotcom,run-code-analyzer,150,3,0,0,3,0,Security
abronin,ecr-retag-action,594,9,2,2,5,0,Utilities
step-security,wait-for-secrets,37,0,0,0,0,0,Security
LuisAlejandro,movie-box,200,3,0,1,2,0,Utilities
test-room-7,action-update-file,53,2,0,1,1,0,Utilities
shogo82148,actions-setup-redis,49,0,0,0,0,0,Testing
Bhacaz,docs-as-code-confluence,49,1,0,1,0,0,Utilities
stepci,stepci,281,5,0,3,0,2,Testing
peaceiris,actions-mdbook,28,0,0,0,0,0,Deployment
microsoft,RichCodeNavIndexer,380,40,4,11,21,4,Code Review
atalent-labs,404-links,51,0,0,0,0,0,Code Quality
cloudflare,pages-action,44,6,4,1,1,0,Deployment
JarvusInnovations,background-action,34,1,0,0,1,0,Utilities
JetBrains,qodana-action,320,1,0,0,1,0,Security
layer5labs,kanvas-snapshot,513,12,0,5,7,0,Code Review
wdzeng,edge-addon,447,4,0,2,2,0,Publishing
de-vri-es,setup-git-credentials,11,0,0,0,0,0,Security
fpicalausa,remove-stale-branches,28,0,0,0,0,0,Utilities
dorny,test-reporter,134,5,3,1,1,0,Testing
CycloneDX,gh-node-module-generatebom,9,0,0,0,0,0,Security
frictionlessdata,frictionless-ci,5,0,0,0,0,0,Code Quality
Reedyuk,NPM-Version,8,0,0,0,0,0,Publishing
biomejs,setup-biome,45,12,1,2,9,0,Utilities
gabrielfalcao,pyenv-action,35,3,3,0,0,0,Dependency Management
dineshsonachalam,markdown-autodocs,6,0,0,0,0,0,Deployment
mlugg,setup-zig,78,1,0,0,1,0,Utilities
mheap,automatic-approve-action,32,1,0,0,1,0,Testing
8398a7,action-slack,59,2,0,1,1,0,Chat
chrisdickinson,setup-yq,8,2,0,1,1,0,Utilities
DavideViolante,pr-reviews-reminder-action,20,0,0,0,0,0,Code Review
paambaati,codeclimate-action,508,1,0,0,1,0,Code Review
nowsecure,nowsecure-action,480,13,6,3,3,1,Security
toshimaru,auto-author-assign,27,0,0,0,0,0,Project Management
wenkokke,setup-agda,195,1,0,0,1,0,Utilities
Legion2,swagger-ui-action,41,0,0,0,0,0,Utilities
varunsridharan,action-github-workflow-sync,53,0,0,0,0,0,Utilities
we-cli,coverage-badge-action,3,0,0,0,0,0,Testing
autero1,action-terragrunt,39,0,0,0,0,0,Deployment
google-github-actions,deploy-cloudrun,92,1,0,1,0,0,Deployment
lukka,run-cmake,378,1,0,0,1,0,Dependency Management
lindluni,actions-variable-groups,29,0,0,0,0,0,Utilities
necojackarc,auto-request-review,36,0,0,0,0,0,Code Review
github,combine-prs,36,0,0,0,0,0,Utilities
getong,mariadb-action,249,24,2,7,13,2,Container CI
mbogh,test-ssl-action,10,0,0,0,0,0,Security
thomaseizinger,keep-a-changelog-new-release,952,27,6,9,11,1,Publishing
benc-uk,workflow-dispatch,5,0,0,0,0,0,Deployment
aquiladev,ipfs-action,396,8,0,5,2,1,Deployment
grassedge,git-pr-release-action,431,41,3,14,19,5,Deployment
h5bp,server-configs-test,177,1,0,0,1,0,Testing
JamesIves,github-pages-deploy-action,509,2,1,0,1,0,Deployment
dromara,issues-translate-action,149,18,1,4,10,3,Localization
crazy-max,ghaction-upx,577,2,0,0,2,0,Deployment
batista,lint-filenames,36,1,0,1,0,0,Utilities
10up,action-repo-automator,50,0,0,0,0,0,Code Review
oprypin,find-latest-tag,28,0,0,0,0,0,Dependency Management
the-actions-org,workflow-dispatch,161,3,0,1,2,0,Utilities
blombard,move-to-next-iteration,25,0,0,0,0,0,Utilities
test-summary,action,25,0,0,0,0,0,Testing
tmcw,notfoundbot,642,36,0,12,20,4,Monitoring
ksivamuthu,aws-copilot-github-action,13,0,0,0,0,0,Deployment
dhall-lang,setup-dhall,8,0,0,0,0,0,Dependency Management
kanadgupta,glitch-sync,5,0,0,0,0,0,Deployment
yogeshpaliyal,upload-indus-appstore,34,3,0,1,1,1,Deployment
kamilkisiela,bob,541,16,0,7,8,1,Continuous Integration
yanamura,git-flow-merge-action,352,5,0,2,3,0,Utilities
Jtalk,url-health-check-action,35,0,0,0,0,0,Testing
kitabisa,docker-slim-action,55,0,0,0,0,0,Utilities
DopplerHQ,cli-action,15,3,3,0,0,0,Security
astral-sh,setup-uv,107,0,0,0,0,0,Utilities
bazelbuild,setup-bazelisk,76,2,2,0,0,0,Testing
squarecloudofc,github-action,32,0,0,0,0,0,Deployment
errata-ai,vale-action,97,2,0,0,2,0,Testing
kiegroup,github-action-build-chain,103,5,0,4,1,0,Utilities
peckjon,reject-pr-approval-from-committer,33,0,0,0,0,0,Code Review
xt0rted,slash-command-action,35,0,0,0,0,0,Chat
shadowmoose,GHA-LoC-Badge,22,3,1,1,1,0,Utilities
wangyucode,sftp-upload-action,10,0,0,0,0,0,Deployment
DataDog,synthetics-ci-github-action,856,4,0,2,2,0,Testing
dailydotdev,action-devcard,190,1,0,0,1,0,Utilities
aslafy-z,conventional-pr-title-action,126,0,0,0,0,0,Code Review
lwojcik,github-action-feed-to-social-media,3,0,0,0,0,0,Utilities
dynatrace-oss,dynatrace-github-action,23,0,0,0,0,0,Utilities
docker-practice,actions-setup-docker,4,0,0,0,0,0,Container CI
MarkusJx,install-boost,120,4,2,2,0,0,Continuous Integration
SimonScholz,google-chat-action,38,0,0,0,0,0,Chat
matlab-actions,setup-matlab,61,0,0,0,0,0,Utilities
joao-zanutto,get-selected,38,0,0,0,0,0,Utilities
jpb06,jest-badges-action,673,9,3,3,3,0,Testing
abel0b,setup-premake,10,2,0,1,1,0,Continuous Integration
opsless,ms-teams-github-actions,55,2,2,0,0,0,Continuous Integration
peaceiris,actions-suggest-related-links,124,13,0,9,4,0,Utilities
workflow,nix-shell-action,12,0,0,0,0,0,Dependency Management
worksome,jira-branch-name-validator-action,3,0,0,0,0,0,Code Quality
mikesprague,teams-incoming-webhook-action,58,0,0,0,0,0,Utilities
umani,changed-files,160,4,0,1,3,0,Utilities
Mastersam07,firebase-app-distribution-action,64,4,2,1,1,0,Publishing
superman66,wakatime-sync,52,8,0,4,4,0,Project Management
aGallea,tests-coverage-report,40,0,0,0,0,0,Code Review
managedcode,MAUIAppVersion,27,0,0,0,0,0,Deployment
TheMrMilchmann,setup-msvc-dev,133,0,0,0,0,0,Utilities
TryGhost,action-deploy-theme,420,0,0,0,0,0,Deployment
teatimeguest,setup-texlive-action,125,0,0,0,0,0,Utilities
davidB,rust-cargo-make,32,0,0,0,0,0,Deployment
Azure,mysql,44,4,0,1,1,2,Deployment
Azure,cli,26,0,0,0,0,0,Deployment
KyleMayes,install-llvm-action,284,1,0,1,0,0,Dependency Management
GreenTF,upload-thunderstore-package,6,0,0,0,0,0,Publishing
codfish,semantic-release-action,532,7,1,2,4,0,Deployment
Satak,webrequest-action,19,6,3,2,1,0,Utilities
stoat-dev,stoat-action,2607,19,4,6,9,0,Utilities
Rebilly,lexi,582,1,0,1,0,0,Code Review
technote-space,create-pr-action,731,25,1,8,16,0,Utilities
GrantBirki,git-diff-action,47,0,0,0,0,0,Utilities
gagoar,codeowners-generator,97,2,0,1,1,0,Utilities
ReactiveCircus,android-emulator-runner,28,0,0,0,0,0,Testing
nicklegan,github-org-repo-metrics-action,66,4,0,2,2,0,Utilities
dessant,lock-threads,35,3,3,0,0,0,Project Management
ArtiomTr,jest-coverage-report-action,348,12,1,4,5,2,Monitoring
Azure,k8s-lint,17,0,0,0,0,0,Code Review
DevCycleHQ,feature-flag-pr-insights-action,403,1,0,0,1,0,Code Review
dlemstra,code-sign-action,9,0,0,0,0,0,Security
jimmygchen,runner-fallback-action,14,0,0,0,0,0,Utilities
TinkurLab,issue-labeler-action,26,0,0,0,0,0,Project Management
Reggionick,s3-deploy,10,0,0,0,0,0,Deployment
tinovyatkin,action-php-codesniffer,45,2,0,1,0,1,Code Review
turtlequeue,setup-babashka,569,9,3,1,5,0,Container CI
xmake-io,github-action-setup-xmake,445,3,0,1,2,0,Utilities
vn7n24fzkq,github-profile-summary-cards,143,1,0,0,1,0,Utilities
dkershner6,jest-coverage-commenter-action,665,6,3,1,2,0,Code Review
benchmark-action,github-action-benchmark,104,3,0,1,1,1,Code Quality
laytan,setup-odin,120,1,0,0,1,0,Utilities
softprops,setup-aws-copilot,10,2,0,1,1,0,Deployment
github,command,48,0,0,0,0,0,Utilities
aws-actions,amazon-ecr-login,102,0,0,0,0,0,Deployment
mattzcarey,code-review-gpt,1162,17,6,5,6,0,Code Review
borchero,terraform-plan-comment,596,3,0,1,2,0,Deployment
ExpediaGroup,spinnaker-pipeline-trigger,755,10,0,2,5,3,Project Management
Azure,k8s-set-context,132,4,0,2,1,1,Deployment
CircleCI-Public,trigger-circleci-pipeline-action,36,3,0,3,0,0,Deployment
fabasoad,twilio-voice-call-action,351,1,0,0,1,0,Utilities
julia-actions,RegisterAction,22,3,0,1,2,0,Publishing
corymhall,cdk-diff-action,845,0,0,0,0,0,Continuous Integration
TinkurLab,monorepo-pr-labeler-action,28,0,0,0,0,0,Code Review
dawidd6,action-ansible-playbook,11,0,0,0,0,0,Deployment
TimDaub,hetzner-cloud-deploy-server-action,5,3,0,2,1,0,Deployment
YOCKOW,Action-setup-swift,39,0,0,0,0,0,Utilities
nix-community,cache-nix-action,92,2,2,0,0,0,Continuous Integration
julia-actions,install-juliaup,41,0,0,0,0,0,Continuous Integration
devops-actions,json-to-file,51,1,0,0,0,1,Utilities
Cyberbeni,install-swift-tool,432,2,1,0,1,0,Utilities
Mozilla-Actions,sccache-action,33,0,0,0,0,0,Dependency Management
ashutoshvarma,action-cmake-build,5,1,0,1,0,0,Testing
google-github-actions,upload-cloud-storage,106,0,0,0,0,0,Deployment
stainless-api,upload-openapi-spec-action,167,1,0,0,1,0,Utilities
tj-actions,glob,543,0,0,0,0,0,Continuous Integration
jontze,action-mdbook,801,1,0,0,1,0,Deployment
synopsys-sig,detect-action,57,3,0,1,2,0,Security
usimd,pi-gen-action,52,3,3,0,0,0,Publishing
parkerbxyz,suggest-changes,26,0,0,0,0,0,Code Review
sysdiglabs,scan-action,36,0,0,0,0,0,Security
OctopusDeploy,install-octopus-cli-action,25,0,0,0,0,0,Deployment
Apple-Actions,download-provisioning-profiles,48,9,1,4,4,0,Mobile
Balastrong,chess-stats-action,9,1,0,1,0,0,Utilities
yc-actions,yc-sls-container-deploy,104,0,0,0,0,0,Deployment
yuichielectric,dive-action,42,0,0,0,0,0,Container CI
pixee,upload-tool-results-action,50,3,2,0,1,0,Security
zentered,vercel-preview-url,26,0,0,0,0,0,Utilities
swinton,screenshot-website,103,5,1,1,3,0,Code Quality
xeol-io,bumpgen,1006,12,4,2,6,0,Utilities
kanga333,variable-mapper,18,0,0,0,0,0,Utilities
Anmol-Baranwal,DevtoGitHub,2,0,0,0,0,0,Utilities
HatsuneMiku3939,direnv-action,71,0,0,0,0,0,Testing
masci,datadog,13,0,0,0,0,0,Monitoring
aws-actions,aws-secretsmanager-get-secrets,106,0,0,0,0,0,Security
sinedied,publish-devto,526,3,0,2,1,0,Deployment
antongolub,action-setup-bun,176,7,4,2,1,0,Continuous Integration
SvanBoxel,zaproxy-to-ghas,25,3,0,1,1,1,Testing
arduino,arduino-lint-action,92,1,0,0,1,0,Testing
balena-io,deploy-to-balena-action,196,0,0,0,0,0,Container CI
dkershner6,aws-ssm-getparameters-action,743,6,3,1,2,0,Deployment
fjogeleit,yaml-update-action,58,3,3,0,0,0,Utilities
vimtor,action-zip,243,24,2,8,11,3,Utilities
oracle-actions,run-oci-cli-command,18,0,0,0,0,0,Deployment
Chocobo1,setup-ccache-action,83,0,0,0,0,0,Utilities
wktk,github-project-connect-action,160,6,3,1,2,0,Utilities
mheap,require-checklist-action,30,0,0,0,0,0,Code Review
crazy-max,ghaction-setup-containerd,590,4,0,0,4,0,Utilities
yuzutech,annotations-action,28,2,0,1,1,0,Code Review
xt0rted,dotnet-format,186,4,0,1,3,0,Code Quality
ecomplus,cloud-commerce,0,0,0,0,0,0,Deployment
DeLaGuardo,setup-clojure,65,0,0,0,0,0,Utilities
MeilCli,npm-update-check-action,30,0,0,0,0,0,Utilities
expo,expo-github-action,14,0,0,0,0,0,Deployment
HardNorth,github-version-generate,37,0,0,0,0,0,Publishing
descope,assume-aws-role-from-gcp-action,669,5,0,1,3,1,Security
